,% of successful trips
sim day 1,0.935483870967742
sim day 2,0.962093862815884
sim day 3,0.978896103896104
sim day 4,0.938709677419355
sim day 5,0.965058236272879
sim day 6,0.964110929853181
sim day 7,0.948916408668731
sim day 8,0.921535893155259
sim day 9,0.970125786163522
sim day 10,0.955056179775281
Avg of sim days,0.953998694898794
After opt placement,0.963934426229508
