,% of successful trips
sim day 1,0.784313725490196
sim day 2,0.784037558685446
sim day 3,0.669477234401349
sim day 4,0.764615384615385
sim day 5,0.777210884353742
sim day 6,0.782884310618067
sim day 7,0.789983844911147
sim day 8,0.796052631578947
sim day 9,0.763605442176871
sim day 10,0.759868421052632
Avg of sim days,0.767204943788378
After opt placement,0.756369426751592
