,% of successful trips
sim day 1,0.835616438356164
sim day 2,0.840245775729647
sim day 3,0.859223300970874
sim day 4,0.873581847649919
sim day 5,0.863924050632911
sim day 6,0.853741496598639
sim day 7,0.8656
sim day 8,0.842857142857143
sim day 9,0.868421052631579
sim day 10,0.864217252396166
Avg of sim days,0.856742835782304
After opt placement,0.908794788273616
